% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.045898944e+06 +2.045898944e+06 +2.045934844e+06 +2.045934844e+06 -2.6956e+00 -1.0959e+00 -1.1479e+00 +1.6358e+00 -7.4054e-01 -2.4015e+00 +3.8642e+00 +3.9455e+00 +4.8156e+00 +4.5377e+00 -3.0476e+00 -2.6456e+00 -4.3462e+00 +8.1502e-01 -2.6769e+00 +2.5260e+00 -4.8102e-01 +4.7881e+00 -1.8286e+00 +3.3934e+00
2 +1.095574122e+06 +1.095574122e+06 +1.095610022e+06 +1.095610022e+06 -3.4451e+00 +1.6168e+00 +8.5332e-01 -1.9012e+00 -2.8014e+00 -8.8669e-01 -4.9385e+00 +3.5568e+00 +3.0976e+00 -2.5973e+00 -3.7872e+00 -4.2852e+00 +2.2416e+00 +4.4462e-01 -1.1065e+00 -4.7432e+00 -1.7048e+00 +3.1964e+00 -4.8806e+00 +5.8443e-02
30 +8.991371156e+05 +8.991371156e+05 +8.991730156e+05 +8.991730156e+05 +2.7937e+00 +1.6437e+00 -4.3057e+00 -3.9881e+00 +2.5477e+00 +1.2442e+00 +3.5661e+00 -2.1932e+00 +1.6856e-01 -2.9612e+00 -3.5946e+00 +1.5467e+00 -1.0046e+00 -9.9564e-01 +2.4718e+00 -2.6188e+00 +3.4658e+00 +3.0753e+00 -4.4116e+00 +2.2556e+00
116 +5.719160888e+05 +5.719160888e+05 +5.719519888e+05 +5.719519888e+05 -2.9548e+00 +1.7383e+00 +3.0450e+00 +2.2611e+00 -1.1539e+00 -2.6031e+00 -1.1913e+00 -2.9181e+00 +1.5291e-01 -4.4793e+00 -9.6985e-01 +1.1741e+00 -3.8363e+00 +2.8673e+00 -4.8434e+00 -3.4832e+00 -1.6519e+00 +2.3936e+00 -2.9501e+00 -1.2708e-01
215 +3.376228188e+05 +3.376228188e+05 +3.376587188e+05 +3.376587188e+05 +3.6185e+00 +1.5998e-01 +7.8242e-01 +2.5293e-01 -5.2785e-01 -2.7288e+00 +4.3333e+00 -4.7800e+00 +5.2052e-01 -4.2577e+00 -2.6896e+00 -3.0400e+00 -4.2217e+00 -9.5012e-01 -3.8888e+00 -2.3972e+00 -3.0688e+00 +4.8926e+00 -3.1447e+00 -3.6101e+00
1608 +1.492047265e+05 +1.492047265e+05 +1.492406265e+05 +1.492406265e+05 +7.8588e-01 +3.5255e+00 +3.9249e+00 +3.9545e+00 -1.9593e-01 -2.1378e+00 +3.8368e+00 -3.9603e+00 -4.6848e-01 -4.3581e+00 -2.9060e+00 +1.4824e-01 -9.2604e-01 -3.0687e+00 +3.7306e+00 -4.4172e+00 +4.0747e+00 +3.7914e+00 -2.1801e+00 -1.9821e+00
3719 +6.674973494e+04 +6.674973494e+04 +6.678563494e+04 +6.678563494e+04 +3.2845e+00 +3.5255e+00 +3.9249e+00 +3.9545e+00 -4.6651e+00 -3.4031e+00 +4.2124e+00 -3.8113e+00 -4.6848e-01 -4.3581e+00 -2.9060e+00 -1.9657e+00 -9.2604e-01 -3.0687e+00 +2.6304e+00 -5.2082e+00 +1.0946e+00 +4.2994e+00 -2.1801e+00 -1.8286e+00
4531 +6.301735238e+04 +6.301735238e+04 +6.305325238e+04 +6.305325238e+04 -8.9331e-01 +1.1721e+00 +2.8975e+00 +3.3912e+00 -1.6971e+00 -4.9134e+00 +1.2510e+00 -3.5287e+00 +9.9838e-01 -3.0460e+00 +3.5589e-01 -2.2098e-01 +1.1136e+00 -8.7846e-01 +5.6972e-01 -3.4776e+00 +2.4724e+00 +3.9821e+00 -2.8737e+00 -2.6605e+00
5127 +3.549813036e+04 +3.549813036e+04 +3.553403036e+04 +3.553403036e+04 +3.2845e+00 +2.3353e+00 +3.9458e+00 +3.9545e+00 -4.6651e+00 -3.4031e+00 -1.1854e+00 -3.6828e+00 -4.6848e-01 -4.3581e+00 -2.9060e+00 -1.9657e+00 -9.2604e-01 -3.0687e+00 +2.6304e+00 -5.2082e+00 +4.2415e+00 +4.7105e+00 -4.6186e+00 -1.8048e+00
5862 +2.386048879e+04 +2.386048879e+04 +2.389638879e+04 +2.389638879e+04 +2.0453e+00 +3.4210e+00 +2.8935e+00 +3.7615e+00 -2.8499e+00 -2.2303e+00 -1.5787e+00 -4.7800e+00 +5.2495e-01 -4.6886e+00 -2.8232e+00 -1.0792e+00 -1.8958e+00 -3.5632e+00 -1.1658e+00 -2.8232e+00 +2.9515e+00 +4.8926e+00 -3.3639e+00 -2.6786e+00
6826 +1.382515920e+04 +1.382515920e+04 +1.386105920e+04 +1.386105920e+04 +1.0401e+00 +1.6280e+00 +3.6833e+00 +4.4445e+00 -1.4195e+00 -4.5838e+00 -2.8513e+00 -4.7445e+00 -1.9816e-01 -3.9510e+00 -1.7110e+00 -3.9222e+00 -2.2444e+00 -2.8541e+00 +1.4009e+00 -3.6621e+00 +1.2784e+00 +3.9385e+00 -3.4717e+00 -2.9093e+00
