gen, min, avg, max, std, exp_number
0, 790.779, 265730, 662598, 99563.5, 1
1, 698.078, 265652, 636155, 97798.3, 1
2, 698.078, 265551, 602315, 96247.4, 1
3, 698.007, 265739, 629110, 97321.1, 1
4, 698.007, 266035, 641524, 96466.2, 1
5, 698.007, 265966, 621262, 96513.9, 1
6, 698.007, 266836, 653876, 99572.3, 1
7, 698.007, 266659, 579716, 98947.8, 1
8, 698.007, 266640, 647599, 99768.2, 1
9, 698.007, 266683, 656401, 100905, 1
10, 698.007, 267078, 651899, 100435, 1
11, 698.007, 267241, 705657, 100586, 1
12, 698.007, 266245, 654199, 100106, 1
13, 698.007, 266109, 626816, 99047.9, 1
14, 698.007, 265728, 635439, 100099, 1
15, 698.007, 265239, 595220, 98042.2, 1
16, 698.007, 266074, 634718, 99472.5, 1
17, 698.007, 265809, 634636, 98222.5, 1
18, 698.007, 266731, 625834, 98535, 1
19, 698.007, 266396, 615890, 98877.3, 1
20, 698.007, 266602, 608105, 98307.9, 1
21, 698.007, 266215, 655021, 99050.1, 1
22, 698.007, 266228, 648706, 97432.6, 1
23, 698.007, 265979, 593260, 96383.1, 1
24, 698.007, 266489, 661507, 99046.6, 1
25, 698.007, 267151, 698864, 100923, 1
26, 698.007, 267493, 652059, 100234, 1
27, 698.007, 267452, 644152, 101354, 1
28, 698.007, 267475, 669596, 101255, 1
29, 698.007, 267398, 648485, 100495, 1
30, 698.007, 267509, 651101, 101061, 1
31, 698.007, 267727, 623444, 99632.4, 1
32, 698.007, 267809, 604223, 99343.5, 1
33, 698.007, 267854, 659426, 101215, 1
34, 698.007, 267790, 659426, 100290, 1
35, 698.007, 267866, 671586, 102065, 1
36, 698.007, 267672, 669069, 100524, 1
37, 698.007, 267317, 660839, 99354.1, 1
38, 698.007, 267845, 601073, 101497, 1
39, 698.007, 267891, 599370, 102157, 1
40, 698.007, 268042, 621919, 103540, 1
41, 698.007, 268900, 639705, 103069, 1
42, 698.007, 268681, 606499, 102164, 1
43, 698.007, 267827, 573294, 99843.6, 1
44, 698.007, 267854, 573679, 101036, 1
45, 698.007, 268289, 623524, 100603, 1
46, 670.903, 268766, 619039, 100426, 1
47, 670.903, 268854, 614140, 100912, 1
48, 670.903, 269562, 649109, 100906, 1
49, 670.903, 270118, 645861, 100415, 1
50, 670.903, 269946, 641749, 101234, 1
51, 670.903, 269528, 641749, 102481, 1
52, 670.903, 270205, 642977, 104472, 1
53, 670.903, 269457, 622344, 104223, 1
54, 670.903, 269015, 619336, 103881, 1
55, 670.903, 269407, 630213, 102845, 1
56, 670.903, 269347, 659226, 102061, 1
57, 670.903, 269064, 667999, 103145, 1
58, 670.903, 268273, 672299, 103454, 1
59, 670.903, 268723, 656529, 102679, 1
60, 670.903, 268950, 623838, 101840, 1
61, 670.903, 268831, 665159, 101883, 1
62, 670.903, 268548, 681543, 100474, 1
63, 670.903, 269014, 703858, 102894, 1
64, 670.903, 269193, 694397, 100945, 1
65, 670.903, 269449, 682686, 101834, 1
66, 670.903, 269301, 654022, 103275, 1
67, 670.903, 269989, 712866, 106372, 1
68, 670.903, 270159, 675900, 106657, 1
69, 670.903, 270779, 656585, 107271, 1
70, 670.903, 270399, 636435, 105659, 1
71, 670.903, 271037, 642973, 105909, 1
72, 670.903, 271003, 646062, 105423, 1
73, 670.903, 271224, 635988, 105531, 1
74, 670.903, 271134, 624449, 104208, 1
75, 670.903, 270674, 629751, 102921, 1
76, 670.903, 270839, 634936, 103858, 1
77, 522.053, 270883, 680385, 103431, 1
78, 522.053, 271985, 680385, 103244, 1
79, 522.053, 272167, 652049, 104430, 1
80, 522.053, 271875, 650551, 102797, 1
81, 522.053, 271518, 718403, 105275, 1
82, 522.053, 271383, 662841, 103954, 1
83, 522.053, 271073, 656567, 103274, 1
84, 522.053, 272529, 684635, 103616, 1
85, 522.053, 272359, 710832, 103753, 1
86, 522.053, 272286, 712340, 104036, 1
87, 522.053, 272536, 702649, 104337, 1
88, 522.053, 272036, 694826, 103116, 1
89, 522.053, 271136, 683936, 103610, 1
90, 522.053, 271368, 717074, 103476, 1
91, 522.053, 271586, 684989, 104943, 1
92, 522.053, 271385, 652540, 104233, 1
93, 522.053, 271943, 666973, 103291, 1
94, 522.053, 272022, 670190, 102268, 1
95, 522.053, 271867, 652548, 102016, 1
96, 522.053, 271575, 748252, 102816, 1
97, 522.053, 271248, 642482, 103616, 1
98, 522.053, 271605, 659372, 104711, 1
99, 522.053, 271521, 667466, 105675, 1
100, 522.053, 271361, 717546, 105389, 1
101, 522.053, 271646, 673085, 105429, 1
102, 522.053, 271974, 618485, 104763, 1
103, 522.053, 272113, 624157, 104461, 1
104, 522.053, 271881, 633145, 103398, 1
105, 522.053, 271937, 660902, 104903, 1
106, 522.053, 272082, 641232, 105559, 1
107, 522.053, 271990, 650856, 104944, 1
108, 522.053, 271811, 726057, 106959, 1
109, 522.053, 271685, 706835, 107818, 1
110, 522.053, 271906, 683396, 108540, 1
111, 522.053, 272206, 713071, 108989, 1
112, 522.053, 271981, 699923, 108004, 1
