gen, min, avg, max, std, exp_number
0, 1401.58, 4049.89, 5516.53, 441.143, 1
1, 1401.58, 4049.69, 5397.57, 441.171, 1
2, 1401.58, 4048.7, 5376.39, 445.002, 1
3, 1401.58, 4045.62, 5373.24, 445.539, 1
4, 1401.58, 4045.13, 5267.16, 444.565, 1
5, 1401.58, 4043.97, 5246.45, 444.396, 1
6, 1401.58, 4043.22, 5326.01, 456.807, 1
7, 1401.58, 4042.69, 5371.71, 457.31, 1
8, 1401.58, 4046.5, 5219.12, 451.501, 1
9, 1401.58, 4045.67, 5383.74, 454.751, 1
10, 1401.58, 4047.43, 5294.38, 452.492, 1
11, 1401.58, 4048.69, 5421.94, 455.006, 1
12, 1401.58, 4049.15, 5389.47, 463.503, 1
13, 1401.58, 4047.74, 5330.4, 458.13, 1
14, 1401.58, 4048.21, 5317.11, 463.485, 1
15, 1401.58, 4049.84, 5282.22, 461.571, 1
16, 1401.58, 4050.69, 5426.02, 459.14, 1
17, 1401.58, 4050.47, 5359.2, 452.157, 1
18, 1401.58, 4049.88, 5303.99, 451.904, 1
19, 1401.58, 4051.61, 5400.58, 451.128, 1
20, 1401.58, 4049.22, 5400.58, 447.99, 1
21, 1401.58, 4048.17, 5334.55, 446.76, 1
22, 1401.58, 4051.03, 5345.77, 446.907, 1
23, 1401.58, 4048.82, 5333.83, 450.675, 1
24, 1401.58, 4048.16, 5430.55, 454.319, 1
25, 1401.58, 4051.33, 5581.63, 454.312, 1
26, 1401.58, 4049.52, 5469.18, 459.062, 1
27, 1401.58, 4049.11, 5364.75, 456.175, 1
28, 1401.58, 4049.34, 5476.39, 456.262, 1
29, 1401.58, 4054.21, 5392.23, 448.475, 1
30, 1401.58, 4058.25, 5358.77, 460.036, 1
31, 1401.58, 4057.84, 5340.09, 459.522, 1
32, 1401.58, 4057.55, 5424.62, 456.304, 1
33, 1401.58, 4054.97, 5431.6, 461.239, 1
34, 1401.58, 4053.63, 5334.48, 463.9, 1
35, 1401.58, 4049.59, 5369.53, 464.793, 1
36, 1401.58, 4047.46, 5286.08, 461.18, 1
37, 1389.36, 4048, 5302.83, 468.336, 1
38, 1389.36, 4044.79, 5272.17, 475.602, 1
39, 1389.36, 4044.38, 5438.24, 468.139, 1
40, 1389.36, 4051.51, 5358.28, 470.948, 1
41, 1389.36, 4049.1, 5238.26, 464.987, 1
42, 1389.36, 4049.64, 5168.05, 457.49, 1
43, 1389.36, 4050.44, 5241.67, 456.457, 1
