gen, min, avg, max, std, exp_number
0, 66.1826, 125.947, 127.704, 1.98083, 1
1, 66.1826, 125.932, 127.269, 1.87182, 1
2, 66.1826, 125.928, 127.793, 1.87507, 1
3, 66.1826, 125.913, 128.069, 1.92089, 1
4, 66.1826, 125.904, 128.136, 2.37657, 1
5, 66.1826, 125.878, 128.259, 2.46561, 1
6, 66.1826, 125.904, 128.342, 2.11019, 1
7, 66.1826, 125.861, 128.082, 2.4519, 1
8, 66.1826, 125.893, 127.859, 2.12293, 1
9, 66.1826, 125.905, 128.082, 2.02983, 1
10, 66.1826, 125.908, 128.732, 2.01136, 1
11, 66.1826, 125.886, 128.738, 2.36005, 1
12, 66.1826, 125.874, 128.544, 2.44969, 1
13, 66.1826, 125.904, 128.63, 2.38203, 1
14, 66.1826, 125.927, 128.641, 2.38806, 1
15, 66.1826, 125.923, 128.91, 2.51604, 1
16, 66.1826, 125.961, 128.709, 2.53101, 1
17, 66.1826, 125.937, 129.585, 2.54245, 1
18, 66.1826, 125.937, 129.551, 2.56135, 1
19, 66.1826, 125.92, 128.524, 2.50693, 1
20, 66.1826, 125.889, 128.89, 2.93864, 1
21, 66.1826, 125.908, 129.138, 2.64528, 1
22, 66.1826, 125.942, 129.131, 2.48921, 1
23, 66.1826, 125.993, 129.059, 1.95016, 1
24, 66.1826, 125.982, 129.09, 1.94604, 1
25, 66.1826, 125.993, 128.801, 2.02299, 1
26, 66.1826, 125.983, 128.69, 2.47432, 1
27, 66.1826, 126.039, 128.988, 1.91278, 1
28, 66.1826, 126.021, 128.701, 2.11783, 1
29, 66.1826, 126.025, 129.282, 2.34858, 1
30, 66.1826, 126.014, 128.779, 2.39199, 1
31, 66.1826, 126.012, 128.881, 2.12808, 1
32, 66.1826, 126.008, 128.874, 2.13862, 1
33, 66.1826, 126.027, 128.727, 1.99064, 1
34, 66.1826, 125.985, 129.312, 2.30903, 1
35, 66.1826, 125.986, 129.923, 2.4983, 1
36, 66.1826, 126.015, 129.338, 2.35922, 1
37, 64.885, 126.028, 129.279, 2.48883, 1
38, 64.885, 126.047, 130.984, 2.32975, 1
39, 64.885, 126.092, 130.042, 2.00705, 1
40, 64.885, 126.109, 129.843, 1.97118, 1
41, 64.885, 126.109, 130.593, 2.12999, 1
42, 64.885, 126.127, 133.698, 2.00267, 1
43, 64.885, 126.118, 130.86, 2.45428, 1
44, 64.885, 126.151, 132.183, 1.96366, 1
45, 64.885, 126.122, 131.681, 2.48369, 1
46, 64.885, 126.15, 132.052, 2.46534, 1
47, 64.885, 126.113, 132.441, 2.7831, 1
48, 64.885, 126.134, 132.245, 2.46646, 1
49, 64.885, 126.159, 131.895, 2.44712, 1
50, 64.885, 126.156, 131.745, 2.40938, 1
51, 64.885, 126.155, 131.554, 2.38204, 1
52, 64.885, 126.199, 131.482, 2.25904, 1
53, 64.885, 126.213, 131.375, 2.21924, 1
54, 64.885, 126.224, 130.916, 2.09974, 1
55, 64.885, 126.165, 130.744, 2.62585, 1
56, 64.885, 126.199, 131.239, 2.45244, 1
57, 64.885, 126.219, 131.162, 2.28436, 1
58, 64.885, 126.206, 131.229, 2.61837, 1
59, 64.885, 126.253, 131.58, 2.40466, 1
60, 64.885, 126.261, 132.659, 2.20067, 1
61, 64.885, 126.234, 130.833, 2.64471, 1
62, 64.885, 126.283, 132.109, 2.21409, 1
63, 64.885, 126.27, 131.505, 2.1974, 1
64, 64.885, 126.272, 131.505, 2.41248, 1
65, 64.885, 126.295, 131.67, 2.58813, 1
66, 64.1136, 126.3, 131.838, 2.62414, 1
67, 64.1136, 126.256, 132.039, 3.01634, 1
68, 64.1136, 126.246, 131.347, 3.15897, 1
69, 64.1136, 126.289, 131.347, 2.92573, 1
70, 64.1136, 126.262, 132.319, 2.99346, 1
71, 64.1136, 126.27, 132.264, 2.83212, 1
72, 64.1136, 126.308, 132.13, 2.54428, 1
73, 64.1136, 126.31, 132.588, 2.95853, 1
74, 64.1136, 126.344, 132.727, 2.69426, 1
75, 64.1136, 126.352, 132.567, 2.5575, 1
76, 64.1136, 126.393, 134.018, 2.49113, 1
77, 64.1136, 126.376, 134.097, 2.69923, 1
78, 64.1136, 126.373, 133.992, 2.917, 1
79, 64.1136, 126.366, 132.19, 3.00437, 1
80, 64.1136, 126.406, 133.756, 2.71536, 1
81, 64.1136, 126.439, 133.709, 2.61826, 1
82, 64.1136, 126.462, 133.709, 2.31156, 1
83, 64.1136, 126.437, 133.239, 2.6907, 1
84, 64.1136, 126.463, 135.693, 2.66003, 1
85, 64.1136, 126.486, 135.666, 2.46169, 1
86, 64.1136, 126.484, 135.01, 2.38834, 1
87, 64.1136, 126.488, 133.617, 2.60053, 1
88, 64.1136, 126.492, 133.454, 2.78826, 1
89, 64.1136, 126.505, 136.711, 2.62953, 1
90, 64.1136, 126.552, 134.054, 2.5236, 1
91, 64.1136, 126.575, 133.755, 2.50295, 1
92, 64.1136, 126.553, 133.141, 2.56239, 1
93, 64.1136, 126.595, 133.168, 2.33533, 1
94, 64.1136, 126.589, 133.245, 2.65331, 1
95, 64.1136, 126.603, 135.286, 2.3296, 1
96, 64.1136, 126.577, 135.159, 2.71145, 1
97, 64.1136, 126.608, 133.289, 2.44504, 1
98, 64.1136, 126.584, 133.665, 2.74304, 1
99, 64.1136, 126.634, 134.18, 2.33545, 1
100, 64.1136, 126.624, 132.938, 2.45415, 1
101, 64.1136, 126.646, 133.067, 2.24938, 1
102, 64.1136, 126.634, 133.056, 2.48013, 1
103, 64.1136, 126.63, 133.154, 2.53107, 1
104, 64.1136, 126.626, 133.16, 2.67953, 1
105, 64.1136, 126.648, 133.323, 2.63247, 1
106, 64.1136, 126.696, 133.528, 2.29571, 1
107, 64.1136, 126.661, 134.248, 2.6783, 1
108, 64.1136, 126.699, 134.363, 2.55515, 1
109, 64.1136, 126.7, 134.199, 2.34151, 1
110, 64.1136, 126.705, 136.61, 2.49685, 1
111, 64.1136, 126.714, 136.365, 2.34282, 1
112, 64.1136, 126.693, 136.323, 2.77057, 1
113, 64.1136, 126.74, 136.258, 2.32409, 1
114, 64.1136, 126.741, 135.903, 2.35917, 1
115, 64.1136, 126.753, 135.499, 2.28579, 1
116, 64.1136, 126.726, 134.377, 2.77387, 1
117, 64.0979, 126.754, 135.392, 2.77554, 1
118, 64.0979, 126.78, 135.844, 2.49126, 1
119, 62.9088, 126.748, 136.32, 2.94986, 1
120, 62.9088, 126.777, 136.319, 2.82219, 1
121, 62.9088, 126.794, 136.283, 2.7452, 1
122, 62.9088, 126.853, 136.291, 2.30499, 1
123, 62.9088, 126.81, 135.531, 2.78103, 1
124, 62.9088, 126.808, 135.213, 2.82659, 1
125, 62.9088, 126.79, 134.758, 3.23211, 1
126, 62.7918, 126.814, 134.15, 3.22646, 1
127, 62.7918, 126.85, 135.053, 2.6935, 1
128, 62.7918, 126.867, 135.416, 2.77317, 1
129, 62.7918, 126.878, 135.982, 2.68573, 1
130, 62.7918, 126.899, 137.528, 2.63694, 1
131, 62.7918, 126.943, 136.205, 2.36784, 1
132, 62.7918, 126.94, 136.733, 2.45771, 1
133, 62.7918, 126.895, 136.78, 2.96366, 1
134, 62.7918, 126.945, 136.944, 2.76292, 1
135, 62.7918, 126.938, 135.923, 2.89649, 1
136, 62.7918, 126.948, 135.051, 2.90618, 1
137, 62.7918, 126.974, 135.051, 2.7602, 1
138, 62.7918, 126.954, 135.843, 3.1469, 1
139, 62.7918, 126.976, 136.858, 2.89627, 1
140, 62.7918, 127.029, 137.925, 2.63818, 1
141, 62.7918, 127.052, 139.899, 3.04734, 1
142, 62.7918, 127.044, 138.656, 3.21755, 1
143, 62.7918, 127.069, 138.105, 3.01291, 1
144, 62.7918, 127.08, 137.97, 3.01405, 1
145, 62.7918, 127.11, 141.721, 2.95357, 1
146, 62.7918, 127.119, 139.197, 2.81803, 1
147, 62.7918, 127.136, 139.381, 2.86925, 1
148, 62.7918, 127.174, 139.451, 2.60959, 1
149, 62.7918, 127.18, 138.968, 2.72022, 1
150, 62.7918, 127.177, 136.988, 2.8932, 1
151, 62.7918, 127.17, 137.601, 3.11323, 1
152, 62.7918, 127.158, 137.297, 3.16859, 1
153, 62.7918, 127.198, 137.297, 2.85803, 1
154, 62.7918, 127.23, 136.285, 2.78351, 1
155, 62.1681, 127.236, 136.704, 3.07428, 1
156, 62.1681, 127.227, 136.119, 3.05054, 1
157, 62.1681, 127.241, 136.775, 2.78842, 1
158, 62.1681, 127.23, 136.197, 3.1365, 1
159, 62.1681, 127.271, 136.2, 2.76636, 1
160, 62.1681, 127.255, 136.2, 2.81934, 1
161, 62.1681, 127.24, 136.155, 2.94825, 1
162, 62.1681, 127.285, 139.428, 2.82194, 1
163, 62.1681, 127.274, 136.702, 3.12567, 1
164, 62.1681, 127.326, 136.113, 2.65013, 1
165, 62.1681, 127.347, 138.009, 2.80305, 1
166, 62.1681, 127.344, 136.784, 2.83544, 1
167, 62.1681, 127.365, 136.773, 2.95815, 1
168, 62.1681, 127.376, 136.791, 2.66267, 1
169, 62.1681, 127.402, 137.487, 2.66572, 1
170, 62.1681, 127.413, 140.097, 2.87187, 1
171, 62.1681, 127.415, 141.472, 2.87569, 1
172, 62.1681, 127.435, 142.197, 3.05285, 1
173, 62.1681, 127.433, 139.014, 2.83029, 1
174, 62.1681, 127.443, 138.977, 2.80069, 1
175, 62.1681, 127.397, 138.146, 3.18885, 1
176, 62.1681, 127.389, 138.36, 3.4445, 1
177, 62.1681, 127.417, 139.436, 3.25168, 1
178, 62.1681, 127.439, 139.003, 3.01057, 1
179, 62.1681, 127.467, 138.407, 2.96244, 1
180, 62.1681, 127.447, 138.092, 3.17785, 1
181, 61.0036, 127.455, 138.244, 3.29311, 1
182, 61.0036, 127.48, 138.244, 3.22749, 1
183, 61.0036, 127.483, 138.834, 3.18304, 1
184, 61.0036, 127.504, 138.767, 3.15845, 1
185, 61.0036, 127.496, 139.754, 3.39946, 1
186, 61.0036, 127.513, 138.755, 3.25095, 1
187, 61.0036, 127.517, 138.708, 3.43696, 1
188, 61.0036, 127.571, 138.846, 3.15342, 1
189, 61.0036, 127.546, 138.846, 3.37736, 1
190, 61.0036, 127.555, 138.652, 3.32187, 1
191, 61.0036, 127.601, 138.219, 3.11016, 1
192, 61.0036, 127.596, 140.415, 3.19207, 1
193, 61.0036, 127.613, 138.735, 3.04066, 1
194, 61.0036, 127.595, 138.715, 3.36894, 1
195, 61.0036, 127.552, 138.331, 3.75894, 1
196, 61.0036, 127.569, 138.271, 3.65696, 1
197, 61.0036, 127.593, 138.229, 3.12857, 1
198, 59.4374, 127.631, 138.197, 3.4283, 1
199, 59.4374, 127.646, 137.373, 3.47927, 1
200, 59.4374, 127.651, 137.412, 3.34064, 1
201, 59.4374, 127.711, 138.078, 3.12934, 1
202, 59.4374, 127.683, 138.078, 3.41815, 1
203, 59.4374, 127.71, 139.648, 3.06951, 1
204, 59.4374, 127.739, 139.134, 3.05549, 1
205, 59.4374, 127.727, 138.463, 3.237, 1
206, 59.4374, 127.721, 138.277, 3.42869, 1
207, 59.4374, 127.729, 138.144, 3.16167, 1
208, 59.4374, 127.764, 138.904, 3.32328, 1
209, 59.4374, 127.774, 142.262, 3.37326, 1
210, 59.4374, 127.784, 138.654, 3.29638, 1
211, 59.4374, 127.811, 138.682, 3.27333, 1
212, 59.4374, 127.799, 138.496, 3.54079, 1
213, 59.4374, 127.838, 138.485, 3.0478, 1
214, 59.4374, 127.83, 139.825, 3.19047, 1
215, 59.4374, 127.82, 141.007, 3.57041, 1
216, 59.4374, 127.843, 141.044, 3.34614, 1
217, 59.4374, 127.832, 141.03, 3.4512, 1
218, 59.4374, 127.907, 141.044, 3.14109, 1
219, 59.4374, 127.876, 139.546, 3.40521, 1
220, 59.4374, 127.883, 139.58, 3.41135, 1
221, 59.4374, 127.9, 139.612, 3.6587, 1
222, 59.4374, 127.929, 140.349, 3.29408, 1
223, 59.4374, 127.949, 140.626, 3.29209, 1
224, 59.4374, 127.956, 140.851, 3.27061, 1
225, 59.4374, 127.992, 143.849, 3.17775, 1
226, 59.4374, 128.006, 143.306, 3.26427, 1
227, 59.4374, 128.025, 143.296, 3.20451, 1
228, 59.4374, 128.033, 142.121, 3.17534, 1
229, 59.4374, 128.005, 141.007, 3.28371, 1
230, 59.4374, 128.026, 147.228, 3.66448, 1
231, 59.4374, 128.042, 141.081, 3.63825, 1
232, 59.4374, 128.063, 143.346, 3.56535, 1
233, 59.4374, 128.096, 140.692, 3.31315, 1
234, 59.4374, 128.138, 140.59, 3.2361, 1
235, 59.4374, 128.128, 140.682, 3.5901, 1
236, 59.4374, 128.112, 140.015, 3.96375, 1
237, 59.4374, 128.162, 140.789, 3.52794, 1
238, 59.4374, 128.127, 140.789, 3.80152, 1
239, 59.4374, 128.121, 140.038, 4.04107, 1
240, 59.4374, 128.202, 139.724, 3.66916, 1
241, 59.4374, 128.215, 141.639, 3.84804, 1
242, 59.4374, 128.221, 141.639, 3.57147, 1
243, 59.4374, 128.203, 141.751, 3.63345, 1
244, 59.4374, 128.243, 142.805, 3.48092, 1
245, 59.4374, 128.26, 149.101, 3.48652, 1
246, 59.4374, 128.249, 142.483, 3.66384, 1
247, 59.4374, 128.278, 141.266, 3.73504, 1
248, 59.4374, 128.334, 145.318, 3.42416, 1
249, 59.4374, 128.341, 143.37, 3.77148, 1
0, 66.1826, 125.931, 129.464, 1.91294, 2
1, 66.1826, 125.941, 128.449, 2.15172, 2
2, 66.1826, 125.925, 130.75, 2.21363, 2
3, 66.1826, 125.95, 129.318, 1.95543, 2
4, 66.1826, 125.951, 128.285, 1.93779, 2
5, 66.1826, 125.949, 128.308, 1.94812, 2
6, 66.1826, 125.914, 128.703, 2.24547, 2
7, 66.1826, 125.99, 128.757, 1.86758, 2
8, 66.1826, 125.988, 128.805, 2.0169, 2
9, 66.1826, 125.973, 128.612, 2.02526, 2
10, 66.1826, 125.971, 128.719, 2.37624, 2
11, 66.1826, 125.992, 128.927, 2.36976, 2
12, 66.1826, 126.004, 128.965, 2.16957, 2
13, 66.1826, 126, 128.965, 2.41846, 2
14, 66.1826, 125.992, 129.26, 2.45741, 2
15, 66.1826, 126.03, 129.386, 1.93089, 2
16, 66.1826, 126.026, 129.296, 2.08028, 2
17, 66.1826, 126.025, 129.254, 1.97755, 2
18, 66.1826, 126, 129.206, 2.09086, 2
19, 66.1826, 126.016, 128.67, 1.93871, 2
20, 66.1826, 125.995, 129.52, 2.04395, 2
21, 66.1826, 126, 129.082, 2.08589, 2
22, 66.1826, 126.015, 128.886, 2.10411, 2
23, 66.1826, 126.039, 128.983, 2.05424, 2
24, 65.0594, 126.002, 128.971, 2.61773, 2
25, 65.0594, 126.057, 129.254, 2.03135, 2
26, 65.0594, 126.073, 129.592, 2.16496, 2
27, 65.0594, 126.076, 130.52, 2.37701, 2
28, 65.0594, 126.082, 130.006, 2.5254, 2
