gen, min, avg, max, std, exp_number
110, -91.1947, -63.5999, -10.6824, 12.1797, 1
111, -91.1947, -63.5726, -0.984167, 12.5288, 1
112, -91.1947, -63.3638, 16.8658, 12.6964, 1
113, -91.1947, -63.3063, 5.80799, 12.7527, 1
114, -91.1947, -63.2001, -3.92205, 12.8298, 1
115, -91.1947, -62.8497, -3.32596, 12.8609, 1
116, -91.1947, -62.7648, 16.036, 13.1733, 1
117, -91.1947, -62.8591, 16.3392, 12.9694, 1
118, -91.1947, -62.7879, 19.3574, 13.3974, 1
119, -91.1947, -62.8175, 8.40407, 13.3342, 1
120, -91.1947, -62.8396, 23.4919, 13.2855, 1
121, -91.1947, -62.6781, 9.87921, 13.3156, 1
122, -91.1947, -62.4245, 9.09965, 13.4602, 1
123, -91.1947, -62.2523, 5.66939, 13.5561, 1
124, -91.1947, -62.2411, 5.66939, 13.4701, 1
125, -91.1947, -62.3509, -0.770621, 13.4334, 1
126, -91.1947, -62.2505, 5.04371, 13.6235, 1
127, -91.1947, -62.4583, 12.1624, 13.7024, 1
128, -91.1947, -62.5274, 3.22922, 13.5537, 1
129, -91.1947, -62.1285, 9.72436, 13.6499, 1
130, -91.1947, -61.9855, 10.9112, 13.4694, 1
131, -91.1947, -61.9435, 3.43582, 13.7241, 1
132, -91.1947, -61.8084, 9.33742, 13.9525, 1
133, -91.1947, -61.6967, 5.99095, 14.0946, 1
134, -91.1947, -61.8687, 9.26191, 13.9928, 1
135, -91.1947, -61.6817, 1.34046, 13.8946, 1
136, -91.1947, -61.5345, 10.109, 14.1412, 1
137, -91.1947, -61.2422, 12.9938, 14.5627, 1
138, -91.1947, -61.2921, 7.22575, 14.0685, 1
139, -91.1947, -61.4878, 5.13326, 13.9511, 1
140, -91.1947, -61.5083, 6.33157, 14.1216, 1
141, -91.1947, -61.3521, 24.6644, 14.118, 1
142, -91.1947, -60.9947, 17.8799, 14.4574, 1
143, -91.1947, -60.8374, 40.6774, 14.8668, 1
144, -91.1947, -61.0342, 12.8099, 14.6217, 1
145, -91.1947, -60.8886, 13.2482, 14.442, 1
146, -91.1947, -60.8145, 21.0928, 14.4614, 1
147, -91.1947, -60.6939, 21.271, 14.7979, 1
148, -91.1947, -60.5316, 13.3288, 14.4315, 1
149, -91.1947, -60.796, 1.20409, 13.7801, 1
150, -91.1947, -60.6604, 2.60899, 13.9687, 1
151, -91.1947, -60.6384, 12.0256, 14.2256, 1
152, -91.1947, -60.3909, 17.7459, 14.8025, 1
153, -91.1947, -60.2671, 25.7777, 15.3137, 1
154, -91.1947, -60.3593, 13.7017, 15.1395, 1
155, -91.1947, -60.4537, 27.1541, 15.2667, 1
156, -91.1947, -60.1932, 22.1283, 15.2784, 1
157, -91.1947, -59.8815, 27.1348, 15.559, 1
158, -91.1947, -60.0268, 20.5182, 14.9329, 1
159, -91.1947, -60.2121, 10.6939, 15.0173, 1
160, -91.1947, -60.1493, 7.16747, 14.6215, 1
161, -91.1947, -60.0735, 3.23162, 14.7193, 1
162, -91.1947, -60.0417, 16.705, 14.7516, 1
163, -91.1947, -59.8232, 36.1706, 15.3337, 1
164, -91.1947, -59.7056, 11.4766, 15.4942, 1
165, -91.1947, -59.5125, 11.4766, 15.6838, 1
166, -91.1947, -59.5498, 4.85006, 15.2989, 1
167, -91.1947, -59.7449, 23.3425, 15.2153, 1
168, -91.1947, -59.9257, 6.95055, 14.5176, 1
169, -91.1947, -59.9172, 9.08142, 14.5896, 1
170, -91.1947, -59.7977, 9.31031, 14.9284, 1
171, -91.1947, -59.4969, 54.823, 15.7297, 1
172, -91.1947, -59.3705, 25.0402, 15.4727, 1
173, -91.1947, -59.3025, 23.3946, 15.4961, 1
174, -91.1947, -59.4542, 11.9935, 14.8396, 1
175, -91.1947, -59.1937, 3.11819, 14.6857, 1
176, -91.1947, -59.1773, 20.7327, 15.0772, 1
177, -91.1947, -58.8581, 32.0797, 15.4757, 1
178, -91.1947, -58.9512, 24.2444, 15.4158, 1
179, -91.1947, -58.7888, 26.2438, 15.5052, 1
180, -91.1947, -58.6233, 18.6423, 15.3247, 1
181, -91.1947, -58.4598, 13.5813, 15.6847, 1
182, -91.1947, -58.4208, 26.9161, 15.7414, 1
183, -91.1947, -58.4947, 26.9161, 15.248, 1
184, -91.4893, -58.4096, 38.2909, 15.8941, 1
185, -91.4893, -58.2998, 27.8334, 16.2048, 1
186, -91.4893, -58.4373, 23.147, 15.7313, 1
187, -91.4893, -58.2578, 20.8025, 15.78, 1
188, -91.4893, -58.3206, 19.8794, 15.7119, 1
189, -91.4893, -58.4236, 15.696, 15.7659, 1
190, -91.4893, -58.3187, 13.3212, 15.5066, 1
191, -91.4893, -58.3114, 31.7024, 15.9679, 1
192, -91.4893, -58.241, 9.17864, 16.0229, 1
193, -91.4893, -58.2662, 27.1732, 16.1866, 1
194, -91.4893, -58.1429, 7.65429, 15.9031, 1
195, -91.4893, -58.1744, 12.3502, 16.1818, 1
196, -91.4893, -57.9117, 12.5331, 16.0002, 1
197, -91.4893, -57.5888, 5.44288, 16.2766, 1
198, -91.4893, -57.5719, 10.3688, 16.399, 1
199, -91.4893, -57.6418, 29.8891, 16.5572, 1
200, -91.4893, -57.779, 14.3682, 16.5652, 1
201, -91.4893, -58.1517, 36.7672, 16.0675, 1
202, -91.4893, -57.9591, 27.166, 15.5377, 1
203, -91.4893, -57.9926, 15.9352, 15.157, 1
204, -91.4893, -57.7984, 25.3364, 15.6148, 1
205, -91.4893, -57.8636, 23.4928, 15.662, 1
206, -91.4893, -57.6528, 17.948, 15.8832, 1
207, -91.4893, -57.5931, 9.4421, 15.9863, 1
208, -91.4893, -57.5207, 15.3146, 15.8253, 1
209, -91.4893, -57.3203, 39.5447, 15.8299, 1
210, -91.4893, -57.1583, 26.2967, 16.3537, 1
211, -91.4893, -57.0178, 21.9633, 16.2992, 1
212, -91.4893, -56.823, 34.4033, 16.3465, 1
213, -91.4893, -56.7673, 26.6974, 16.5981, 1
214, -91.4893, -56.8769, 22.5459, 16.5774, 1
215, -91.4893, -57.0425, 16.9532, 16.125, 1
216, -91.4893, -56.6909, 30.1932, 16.6774, 1
217, -91.4893, -56.4521, 17.77, 16.6237, 1
