Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.057,
2,2,1,130.756197,0,1.7976931348623157E308,-1,0.0,0.0,1,130.756197,1,0.0,SAT,,0.062,
3,3,1,112.739467,0,1.7976931348623157E308,-1,0.0,0.0,1,112.739467,1,0.0,SAT,,0.061,
4,4,1,4.647444,0,1.7976931348623157E308,-1,0.0,0.0,1,4.647444,1,0.0,SAT,,0.062,
5,5,1,21.414597,0,1.7976931348623157E308,-1,0.0,0.0,1,21.414597,1,0.0,SAT,,0.059,
6,6,1,21.477087,0,1.7976931348623157E308,-1,0.0,0.0,1,21.477087,1,0.0,SAT,,0.065,
7,7,1,56.772203,0,1.7976931348623157E308,-1,0.0,0.0,1,56.772203,1,0.0,SAT,,0.066,
8,8,1,52.722304,0,1.7976931348623157E308,-1,0.0,0.0,1,52.722304,1,0.0,SAT,,0.06,
9,9,1,205.315011,0,1.7976931348623157E308,-1,0.0,0.0,1,205.315011,1,0.0,SAT,,0.061,
10,10,1,38.770488,0,1.7976931348623157E308,-1,0.0,0.0,1,38.770488,1,0.0,SAT,,0.065,
11,11,1,80.600042,0,1.7976931348623157E308,-1,0.0,0.0,1,80.600042,1,0.0,SAT,,0.068,
12,12,1,18.111671,0,1.7976931348623157E308,-1,0.0,0.0,1,18.111671,1,0.0,SAT,,0.06,
13,13,1,11.936401,0,1.7976931348623157E308,-1,0.0,0.0,1,11.936401,2,0.0,SAT,,0.059,
14,14,1,3.821087,0,1.7976931348623157E308,-1,0.0,0.0,1,3.821087,2,0.0,SAT,,0.057,
15,15,1,19.214199,0,1.7976931348623157E308,-1,0.0,0.0,1,19.214199,2,0.0,SAT,,0.058,
16,16,1,86.456519,0,1.7976931348623157E308,-1,0.0,0.0,1,86.456519,2,0.0,SAT,,0.063,
17,17,1,3.648914,0,1.7976931348623157E308,-1,0.0,0.0,1,3.648914,2,0.0,SAT,,0.058,
18,18,1,29.065784,0,1.7976931348623157E308,-1,0.0,0.0,1,29.065784,2,0.0,SAT,,0.06,
19,19,1,19.852807,0,1.7976931348623157E308,-1,0.0,0.0,1,19.852807,2,0.0,SAT,,0.058,
20,20,1,34.990598,0,1.7976931348623157E308,-1,0.0,0.0,1,34.990598,2,0.0,SAT,,0.059,
21,21,1,30.77093,0,1.7976931348623157E308,-1,0.0,0.0,1,30.77093,2,0.0,SAT,,0.06,
22,22,1,24.416256,0,1.7976931348623157E308,-1,0.0,0.0,1,24.416256,2,0.0,SAT,,0.057,
23,23,1,84.786406,0,1.7976931348623157E308,-1,0.0,0.0,1,84.786406,3,0.0,SAT,,0.086,
24,24,1,18.357596,0,1.7976931348623157E308,-1,0.0,0.0,1,18.357596,3,0.0,SAT,,0.061,
25,25,1,53.726949,0,1.7976931348623157E308,-1,0.0,0.0,1,53.726949,3,0.0,SAT,,0.062,
26,26,1,27.199085,0,1.7976931348623157E308,-1,0.0,0.0,1,27.199085,3,0.0,SAT,,0.06,
27,27,1,115.574526,0,1.7976931348623157E308,-1,0.0,0.0,1,115.574526,3,0.0,SAT,,0.06,
28,28,1,3.54485,0,1.7976931348623157E308,-1,0.0,0.0,1,3.54485,3,0.0,SAT,,0.059,
29,29,1,109.781729,0,1.7976931348623157E308,-1,0.0,0.0,1,109.781729,3,0.0,SAT,,0.061,
30,30,1,178.445472,0,1.7976931348623157E308,-1,0.0,0.0,1,178.445472,3,0.0,SAT,,0.064,
31,31,1,12.663208,0,1.7976931348623157E308,-1,0.0,0.0,1,12.663208,3,0.0,SAT,,0.06,
32,32,1,149.731071,0,1.7976931348623157E308,-1,0.0,0.0,1,149.731071,3,0.0,SAT,,0.065,
33,33,1,8.061669,0,1.7976931348623157E308,-1,0.0,0.0,1,8.061669,4,0.0,SAT,,0.095,
34,34,1,20.379175,0,1.7976931348623157E308,-1,0.0,0.0,1,20.379175,4,0.0,SAT,,0.066,
35,35,1,4.680996,0,1.7976931348623157E308,-1,0.0,0.0,1,4.680996,4,0.0,SAT,,0.086,
36,36,1,69.797656,0,1.7976931348623157E308,-1,0.0,0.0,1,69.797656,4,0.0,SAT,,0.061,
37,37,1,159.155581,0,1.7976931348623157E308,-1,0.0,0.0,1,159.155581,4,0.0,SAT,,0.058,
38,38,1,37.024977,0,1.7976931348623157E308,-1,0.0,0.0,1,37.024977,4,0.0,SAT,,0.062,
39,39,1,153.643371,0,1.7976931348623157E308,-1,0.0,0.0,1,153.643371,4,0.0,SAT,,0.06,
40,40,1,23.375956,0,1.7976931348623157E308,-1,0.0,0.0,1,23.375956,4,0.0,SAT,,0.057,
41,41,1,177.042226,0,1.7976931348623157E308,-1,0.0,0.0,1,177.042226,4,0.0,SAT,,0.063,
42,42,1,30.21254,0,1.7976931348623157E308,-1,0.0,0.0,1,30.21254,4,0.0,SAT,,0.062,
43,43,1,160.126087,0,1.7976931348623157E308,-1,0.0,0.0,1,160.126087,4,0.0,SAT,,0.062,
44,44,1,154.810363,0,1.7976931348623157E308,-1,0.0,0.0,1,154.810363,5,0.0,SAT,,0.09,
45,45,1,13.431478,0,1.7976931348623157E308,-1,0.0,0.0,1,13.431478,5,0.0,SAT,,0.064,
46,46,1,162.511111,0,1.7976931348623157E308,-1,0.0,0.0,1,162.511111,5,0.0,SAT,,0.06,
47,47,1,33.959069,0,1.7976931348623157E308,-1,0.0,0.0,1,33.959069,5,0.0,SAT,,0.06,
48,48,1,166.939028,0,1.7976931348623157E308,-1,0.0,0.0,1,166.939028,5,0.0,SAT,,0.06,
49,49,1,9.290383,0,1.7976931348623157E308,-1,0.0,0.0,1,9.290383,5,0.0,SAT,,0.065,
50,50,1,5.850585,0,1.7976931348623157E308,-1,0.0,0.0,1,5.850585,5,0.0,SAT,,0.06,
51,51,1,19.787761,0,1.7976931348623157E308,-1,0.0,0.0,1,19.787761,5,0.0,SAT,,0.061,
