% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16906 +6.143148724e-01 +6.143148724e-01 -5.173568513e+01 -5.173568513e+01 -7.6793e-01 -9.2726e-01 +2.7634e+00 -2.9300e+00 -1.7327e+00 +3.9130e+00 -3.8248e+00 -4.6708e-01 +2.8104e+00 -1.5173e+00 +3.1567e+00 -5.8921e-01 +3.1133e+00 -9.5246e-01 -1.8797e+00 +6.4215e-01 -1.1902e+00 +1.5263e+00 +3.0370e+00 -3.6247e+00
19814 +3.944482540e-01 +3.944482540e-01 -5.195555175e+01 -5.195555175e+01 -7.1922e-01 -1.0183e+00 +2.7794e+00 -2.6165e+00 -1.6769e+00 +3.8561e+00 -4.0622e+00 -3.9895e-01 +3.0403e+00 -1.6176e+00 +3.4876e+00 -6.9946e-01 +3.3499e+00 -9.4095e-01 -1.6152e+00 +1.0025e+00 -1.1687e+00 +1.8732e+00 +2.9371e+00 -4.1994e+00
22580 +2.451003754e-01 +2.451003754e-01 -5.210489962e+01 -5.210489962e+01 -7.6513e-01 -1.3802e+00 +2.9423e+00 -2.6361e+00 -1.3375e+00 +3.5136e+00 -3.7684e+00 -6.1991e-02 +2.8155e+00 -1.8289e+00 +3.1961e+00 -3.6042e-01 +3.1133e+00 -9.5246e-01 -1.8181e+00 +8.7881e-01 -1.3217e+00 +1.7907e+00 +3.2851e+00 -3.8277e+00
23876 +1.474111831e-01 +1.474111831e-01 -5.220258882e+01 -5.220258882e+01 -8.3665e-01 -1.1477e+00 +2.7194e+00 -2.1655e+00 -1.5439e+00 +3.3289e+00 -3.8586e+00 +1.3359e-01 +2.9711e+00 -1.4191e+00 +3.0526e+00 -4.9319e-01 +3.4650e+00 -7.5684e-01 -1.9849e+00 +1.0366e+00 -1.1984e+00 +1.6524e+00 +2.9915e+00 -3.9762e+00
29836 +3.758085000e-02 +3.758085000e-02 -5.231241915e+01 -5.231241915e+01 -7.6259e-01 -1.1408e+00 +2.6611e+00 -2.3841e+00 -1.4808e+00 +3.5163e+00 -3.8807e+00 -1.6062e-01 +2.9037e+00 -1.6541e+00 +3.0908e+00 -5.5278e-01 +3.4204e+00 -8.2073e-01 -1.9038e+00 +1.3755e+00 -1.1460e+00 +1.7600e+00 +2.9840e+00 -3.7130e+00
39123 +2.381803597e-02 +2.381803597e-02 -5.232618196e+01 -5.232618196e+01 -9.8685e-01 -1.1712e+00 +2.4904e+00 -2.2961e+00 -1.5563e+00 +3.6298e+00 -3.8250e+00 -6.6195e-02 +2.8911e+00 -1.6761e+00 +3.1207e+00 -4.5040e-01 +3.4325e+00 -8.3818e-01 -1.8719e+00 +1.2165e+00 -1.1468e+00 +1.8213e+00 +3.2377e+00 -4.1032e+00
53024 +1.481585507e-02 +1.481585507e-02 -5.233518414e+01 -5.233518414e+01 -9.8729e-01 -1.1713e+00 +2.5139e+00 -2.3113e+00 -1.5854e+00 +3.6298e+00 -3.8600e+00 -7.7811e-02 +2.8911e+00 -1.6761e+00 +3.0910e+00 -4.5040e-01 +3.4329e+00 -8.7054e-01 -1.8719e+00 +1.2200e+00 -1.1467e+00 +1.8271e+00 +3.2377e+00 -4.1032e+00
62517 +9.779392090e-03 +9.779392090e-03 -5.234022061e+01 -5.234022061e+01 -9.8688e-01 -1.1722e+00 +2.4983e+00 -2.3290e+00 -1.5842e+00 +3.6307e+00 -3.8465e+00 -2.2168e-02 +2.8921e+00 -1.7096e+00 +3.0311e+00 -4.5998e-01 +3.4324e+00 -8.6197e-01 -1.8708e+00 +1.2267e+00 -1.1465e+00 +1.8288e+00 +3.2377e+00 -4.1032e+00
82094 +6.301529566e-03 +6.301529566e-03 -5.234369847e+01 -5.234369847e+01 -9.8711e-01 -1.1827e+00 +2.4995e+00 -2.3486e+00 -1.5615e+00 +3.6301e+00 -3.8808e+00 -1.1059e-02 +2.8486e+00 -1.7020e+00 +3.0283e+00 -4.7627e-01 +3.4325e+00 -8.7189e-01 -1.8722e+00 +1.2226e+00 -1.1425e+00 +1.8266e+00 +3.2377e+00 -4.1032e+00
114678 +3.942186744e-03 +3.942186744e-03 -5.234605781e+01 -5.234605781e+01 -9.7175e-01 -1.1975e+00 +2.5029e+00 -2.3640e+00 -1.5579e+00 +3.6312e+00 -3.8759e+00 -9.8014e-03 +2.8303e+00 -1.6984e+00 +3.0253e+00 -4.6949e-01 +3.4373e+00 -8.7565e-01 -1.8766e+00 +1.2207e+00 -1.1248e+00 +1.8221e+00 +3.2377e+00 -4.0559e+00
270271 +2.505009505e-03 +2.505009505e-03 -5.234749499e+01 -5.234749499e+01 -9.5334e-01 -1.2048e+00 +2.5030e+00 -2.3787e+00 -1.5492e+00 +3.6319e+00 -3.8837e+00 -1.0476e-02 +2.8231e+00 -1.7082e+00 +3.0157e+00 -4.8610e-01 +3.4516e+00 -8.8121e-01 -1.8810e+00 +1.2258e+00 -1.1242e+00 +1.8063e+00 +3.2213e+00 -4.0336e+00
312771 +1.582721698e-03 +1.582721698e-03 -5.234841728e+01 -5.234841728e+01 -9.4664e-01 -1.2052e+00 +2.5076e+00 -2.3813e+00 -1.5484e+00 +3.6275e+00 -3.8809e+00 -1.0575e-02 +2.8231e+00 -1.7060e+00 +3.0157e+00 -4.8575e-01 +3.4529e+00 -8.8134e-01 -1.8932e+00 +1.2229e+00 -1.1286e+00 +1.8069e+00 +3.1970e+00 -4.0305e+00
