% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.265349578e+06 +2.265349578e+06 +2.265385478e+06 +2.265385478e+06
12 +1.330700285e+06 +1.330700285e+06 +1.330736185e+06 +1.330736185e+06
106 +5.543698988e+05 +5.543698988e+05 +5.544057988e+05 +5.544057988e+05
1910 +2.832887528e+05 +2.832887528e+05 +2.833246528e+05 +2.833246528e+05
3299 +2.105024790e+05 +2.105024790e+05 +2.105383790e+05 +2.105383790e+05
4021 +1.480964673e+05 +1.480964673e+05 +1.481323673e+05 +1.481323673e+05
6242 +6.482825446e+04 +6.482825446e+04 +6.486415446e+04 +6.486415446e+04
7914 +6.281291968e+04 +6.281291968e+04 +6.284881968e+04 +6.284881968e+04
9303 +2.339214830e+04 +2.339214830e+04 +2.342804830e+04 +2.342804830e+04
13702 +1.394747197e+04 +1.394747197e+04 +1.398337197e+04 +1.398337197e+04
15016 +6.392341448e+03 +6.392341448e+03 +6.428241448e+03 +6.428241448e+03
18007 +6.290109094e+03 +6.290109094e+03 +6.326009094e+03 +6.326009094e+03
20012 +3.195492635e+03 +3.195492635e+03 +3.231392635e+03 +3.231392635e+03
24387 +1.359087918e+03 +1.359087918e+03 +1.394987918e+03 +1.394987918e+03
25055 +3.968390720e+02 +3.968390720e+02 +4.327390720e+02 +4.327390720e+02
