% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.419636680e+02 +3.419636680e+02 +4.214436680e+02 +4.214436680e+02
650 +2.434486342e+02 +2.434486342e+02 +3.229286342e+02 +3.229286342e+02
1920 +1.449782162e+02 +1.449782162e+02 +2.244582162e+02 +2.244582162e+02
2808 +9.207987099e+01 +9.207987099e+01 +1.715598710e+02 +1.715598710e+02
5115 +5.294908998e+01 +5.294908998e+01 +1.324290900e+02 +1.324290900e+02
6957 +3.527135374e+01 +3.527135374e+01 +1.147513537e+02 +1.147513537e+02
9145 +2.164852236e+01 +2.164852236e+01 +1.011285224e+02 +1.011285224e+02
11546 +1.338876563e+01 +1.338876563e+01 +9.286876563e+01 +9.286876563e+01
12815 +9.423506816e+00 +9.423506816e+00 +8.890350682e+01 +8.890350682e+01
15167 +6.154344916e+00 +6.154344916e+00 +8.563434492e+01 +8.563434492e+01
18061 +3.648985724e+00 +3.648985724e+00 +8.312898572e+01 +8.312898572e+01
20866 +2.086674139e+00 +2.086674139e+00 +8.156667414e+01 +8.156667414e+01
